x(m)           y(m)           x(m)           lat(degs)      lon(degs)      heading(rads)  pitch(rads)    roll(rads)     
-99882.50000   9900.00000     1200.00000     33.58433       34.92187       1.57080        0.00000        0.00000        
-99647.50000   9900.00000     1200.00000     33.58435       34.92440       1.57080        0.00000        0.00000        
-99412.50000   9900.00000     1200.00000     33.58437       34.92693       1.57080        0.00000        0.00000        
-99177.50000   9900.00000     1200.00000     33.58440       34.92946       1.57080        0.00000        0.00000        
-98942.50000   9900.00000     1200.00000     33.58442       34.93199       1.57080        0.00000        0.00000        
-98707.50000   9900.00000     1200.00000     33.58444       34.93452       1.57080        0.00000        0.00000        
-98472.50000   9900.00000     1200.00000     33.58446       34.93705       1.57080        0.00000        0.00000        
-98237.50000   9900.00000     1200.00000     33.58448       34.93958       1.57080        0.00000        0.00000        
-98002.50000   9900.00000     1200.00000     33.58451       34.94211       1.57080        0.00000        0.00000        
-97767.50000   9900.00000     1200.00000     33.58453       34.94464       1.57080        0.00000        0.00000        
-97532.50000   9900.00000     1200.00000     33.58455       34.94717       1.57080        0.00000        0.00000        
-97297.50000   9900.00000     1200.00000     33.58457       34.94970       1.57080        0.00000        0.00000        
-97062.50000   9900.00000     1200.00000     33.58459       34.95223       1.57080        0.00000        0.00000        
-96827.50000   9900.00000     1200.00000     33.58461       34.95476       1.57080        0.00000        0.00000        
-96592.50000   9900.00000     1200.00000     33.58463       34.95729       1.57080        0.00000        0.00000        
-96357.50000   9900.00000     1200.00000     33.58466       34.95982       1.57080        0.00000        0.00000        
-96122.50000   9900.00000     1200.00000     33.58468       34.96235       1.57080        0.00000        0.00000        
-95887.50000   9900.00000     1200.00000     33.58470       34.96488       1.57080        0.00000        0.00000        
-95652.50000   9900.00000     1200.00000     33.58472       34.96741       1.57080        0.00000        0.00000        
-95417.50000   9900.00000     1200.00000     33.58474       34.96994       1.57080        0.00000        0.00000        
-95182.50000   9900.00000     1200.00000     33.58476       34.97247       1.57080        0.00000        0.00000        
-94947.50000   9900.00000     1200.00000     33.58478       34.97500       1.57080        0.00000        0.00000        
-94712.50000   9900.00000     1200.00000     33.58480       34.97753       1.57080        0.00000        0.00000        
-94477.50000   9900.00000     1200.00000     33.58482       34.98006       1.57080        0.00000        0.00000        
-94242.50000   9900.00000     1200.00000     33.58484       34.98259       1.57080        0.00000        0.00000        
-94007.50000   9900.00000     1200.00000     33.58486       34.98512       1.57080        0.00000        0.00000        
-93772.50000   9900.00000     1200.00000     33.58489       34.98765       1.57080        0.00000        0.00000        
-93537.50000   9900.00000     1200.00000     33.58491       34.99018       1.57080        0.00000        0.00000        
-93302.50000   9900.00000     1200.00000     33.58493       34.99271       1.57080        0.00000        0.00000        
-93067.50000   9900.00000     1200.00000     33.58495       34.99524       1.57080        0.00000        0.00000        
-92832.50000   9900.00000     1200.00000     33.58497       34.99777       1.57080        0.00000        0.00000        
-92597.50000   9900.00000     1200.00000     33.58499       35.00031       1.57080        0.00000        0.00000        
-92362.50000   9900.00000     1200.00000     33.58501       35.00284       1.57080        0.00000        0.00000        
-92127.50000   9900.00000     1200.00000     33.58503       35.00537       1.57080        0.00000        0.00000        
-91892.50000   9900.00000     1200.00000     33.58505       35.00790       1.57080        0.00000        0.00000        
-91657.50000   9900.00000     1200.00000     33.58507       35.01043       1.57080        0.00000        0.00000        
-91422.50000   9900.00000     1200.00000     33.58509       35.01296       1.57080        0.00000        0.00000        
-91187.50000   9900.00000     1200.00000     33.58511       35.01549       1.57080        0.00000        0.00000        
-90952.50000   9900.00000     1200.00000     33.58513       35.01802       1.57080        0.00000        0.00000        
-90717.50000   9900.00000     1200.00000     33.58515       35.02055       1.57080        0.00000        0.00000        
-90482.50000   9900.00000     1200.00000     33.58517       35.02308       1.57080        0.00000        0.00000        
-90247.50000   9900.00000     1200.00000     33.58519       35.02561       1.57080        0.00000        0.00000        
-90012.50000   9900.00000     1200.00000     33.58521       35.02814       1.57080        0.00000        0.00000        
-89777.50000   9900.00000     1200.00000     33.58523       35.03067       1.57080        0.00000        0.00000        
-89542.50000   9900.00000     1200.00000     33.58525       35.03320       1.57080        0.00000        0.00000        
-89307.50000   9900.00000     1200.00000     33.58527       35.03573       1.57080        0.00000        0.00000        
-89072.50000   9900.00000     1200.00000     33.58529       35.03826       1.57080        0.00000        0.00000        
-88837.50000   9900.00000     1200.00000     33.58531       35.04079       1.57080        0.00000        0.00000        
-88602.50000   9900.00000     1200.00000     33.58533       35.04332       1.57080        0.00000        0.00000        
-88367.50000   9900.00000     1200.00000     33.58535       35.04585       1.57080        0.00000        0.00000        
-88132.50000   9900.00000     1200.00000     33.58537       35.04838       1.57080        0.00000        0.00000        
-87897.50000   9900.00000     1200.00000     33.58539       35.05091       1.57080        0.00000        0.00000        
-87662.50000   9900.00000     1200.00000     33.58540       35.05344       1.57080        0.00000        0.00000        
-87427.50000   9900.00000     1200.00000     33.58542       35.05597       1.57080        0.00000        0.00000        
-87192.50000   9900.00000     1200.00000     33.58544       35.05850       1.57080        0.00000        0.00000        
-86957.50000   9900.00000     1200.00000     33.58546       35.06103       1.57080        0.00000        0.00000        
-86722.50000   9900.00000     1200.00000     33.58548       35.06356       1.57080        0.00000        0.00000        
-86487.50000   9900.00000     1200.00000     33.58550       35.06610       1.57080        0.00000        0.00000        
-86252.50000   9900.00000     1200.00000     33.58552       35.06863       1.57080        0.00000        0.00000        
-86017.50000   9900.00000     1200.00000     33.58554       35.07116       1.57080        0.00000        0.00000        
-85782.50000   9900.00000     1200.00000     33.58556       35.07369       1.57080        0.00000        0.00000        
-85547.50000   9900.00000     1200.00000     33.58558       35.07622       1.57080        0.00000        0.00000        
-85312.50000   9900.00000     1200.00000     33.58560       35.07875       1.57080        0.00000        0.00000        
-85077.50000   9900.00000     1200.00000     33.58561       35.08128       1.57080        0.00000        0.00000        
-84842.50000   9900.00000     1200.00000     33.58563       35.08381       1.57080        0.00000        0.00000        
-84607.50000   9900.00000     1200.00000     33.58565       35.08634       1.57080        0.00000        0.00000        
-84372.50000   9900.00000     1200.00000     33.58567       35.08887       1.57080        0.00000        0.00000        
-84137.50000   9900.00000     1200.00000     33.58569       35.09140       1.57080        0.00000        0.00000        
-83902.50000   9900.00000     1200.00000     33.58571       35.09393       1.57080        0.00000        0.00000        
-83667.50000   9900.00000     1200.00000     33.58573       35.09646       1.57080        0.00000        0.00000        
-83432.50000   9900.00000     1200.00000     33.58574       35.09899       1.57080        0.00000        0.00000        
-83197.50000   9900.00000     1200.00000     33.58576       35.10152       1.57080        0.00000        0.00000        
-82962.50000   9900.00000     1200.00000     33.58578       35.10405       1.57080        0.00000        0.00000        
-82727.50000   9900.00000     1200.00000     33.58580       35.10658       1.57080        0.00000        0.00000        
-82492.50000   9900.00000     1200.00000     33.58582       35.10911       1.57080        0.00000        0.00000        
-82257.50000   9900.00000     1200.00000     33.58584       35.11164       1.57080        0.00000        0.00000        
-82022.50000   9900.00000     1200.00000     33.58585       35.11417       1.57080        0.00000        0.00000        
-81787.50000   9900.00000     1200.00000     33.58587       35.11670       1.57080        0.00000        0.00000        
-81552.50000   9900.00000     1200.00000     33.58589       35.11924       1.57080        0.00000        0.00000        
-81317.50000   9900.00000     1200.00000     33.58591       35.12177       1.57080        0.00000        0.00000        
-81082.50000   9900.00000     1200.00000     33.58593       35.12430       1.57080        0.00000        0.00000        
-80847.50000   9900.00000     1200.00000     33.58594       35.12683       1.57080        0.00000        0.00000        
-80612.50000   9900.00000     1200.00000     33.58596       35.12936       1.57080        0.00000        0.00000        
-80377.50000   9900.00000     1200.00000     33.58598       35.13189       1.57080        0.00000        0.00000        
-80142.50000   9900.00000     1200.00000     33.58600       35.13442       1.57080        0.00000        0.00000        
-79907.50000   9900.00000     1200.00000     33.58601       35.13695       1.57080        0.00000        0.00000        
-79672.50000   9900.00000     1200.00000     33.58603       35.13948       1.57080        0.00000        0.00000        
-79437.50000   9900.00000     1200.00000     33.58605       35.14201       1.57080        0.00000        0.00000        
-79202.50000   9900.00000     1200.00000     33.58607       35.14454       1.57080        0.00000        0.00000        
-78967.50000   9900.00000     1200.00000     33.58608       35.14707       1.57080        0.00000        0.00000        
-78732.50000   9900.00000     1200.00000     33.58610       35.14960       1.57080        0.00000        0.00000        
-78497.50000   9900.00000     1200.00000     33.58612       35.15213       1.57080        0.00000        0.00000        
-78262.50000   9900.00000     1200.00000     33.58614       35.15466       1.57080        0.00000        0.00000        
-78027.50000   9900.00000     1200.00000     33.58615       35.15719       1.57080        0.00000        0.00000        
-77792.50000   9900.00000     1200.00000     33.58617       35.15972       1.57080        0.00000        0.00000        
